DATE,NAV
2002-10-04,22.931357
2002-10-03,23.571704
2002-10-02,23.354051
2002-10-01,22.655756
2002-09-30,22.30471
2002-09-27,23.832084
2002-09-26,23.864699
2002-09-25,22.820994
2002-09-24,21.914448
2002-09-23,22.96894
2002-09-20,23.757731
2002-09-19,23.879989
2002-09-18,24.689679
2002-09-17,25.684196
2002-09-16,25.808589
2002-09-13,25.60074
2002-09-12,26.739728
2002-09-11,27.511039
2002-09-10,26.589323
2002-09-09,26.001628
2002-09-06,26.216868
2002-09-05,25.198579
2002-09-04,25.777155
2002-09-03,26.208279
2002-09-02,26.977691
2002-08-30,27.096866
2002-08-29,26.970885
2002-08-28,28.135457
2002-08-27,29.0238
2002-08-26,28.774213
2002-08-23,28.894816
2002-08-22,28.700162
2002-08-21,28.353969
2002-08-20,28.210499
2002-08-19,27.883627
2002-08-16,27.148865
2002-08-15,27.094768
2002-08-14,26.764667
2002-08-13,26.862286
2002-08-12,27.198375
2002-08-09,27.152954
2002-08-08,26.98478
2002-08-07,26.3467
2002-08-06,25.818726
2002-08-05,25.283353
2002-08-02,25.997913
2002-08-01,26.972236
2002-07-31,27.210652
2002-07-30,27.255019
2002-07-29,26.643014
2002-07-26,25.633355
2002-07-25,25.288499
2002-07-24,23.614004
2002-07-23,25.59207
2002-07-22,26.67842
2002-07-19,27.786836
2002-07-18,28.551757
2002-07-17,28.607589
2002-07-16,27.19241
2002-07-15,28.247363
2002-07-12,29.089106
2002-07-11,29.361183
2002-07-10,30.817537
2002-07-09,31.398584
2002-07-08,31.822093
2002-07-05,31.506373
2002-07-04,30.321949
2002-07-03,30.222881
2002-07-02,30.950846
2002-07-01,31.902779
2002-06-28,31.140418
2002-06-27,30.511477
2002-06-26,29.578731
2002-06-25,30.249303
2002-06-24,29.614894
2002-06-21,30.812027
2002-06-20,31.128046
2002-06-19,31.357335
2002-06-18,32.077855
2002-06-17,31.756078
2002-06-14,30.93471
2002-06-13,32.452918
2002-06-12,32.964503
2002-06-11,33.409374
2002-06-10,32.925545
2002-06-07,32.564315
2002-06-06,33.719153
2002-06-05,33.707129
2002-06-04,33.698635
2002-06-03,35.038408
2002-05-31,34.949932
2002-05-30,34.724354
2002-05-29,35.407086
2002-05-28,35.771314
2002-05-27,35.820602
2002-05-24,35.548159
2002-05-23,35.461441
2002-05-22,35.48918
2002-05-21,36.075697
2002-05-20,36.181452
2002-05-17,36.547907
2002-05-16,36.306334
2002-05-15,36.352886
2002-05-14,36.352183
2002-05-13,35.393591
2002-05-10,35.334968
2002-05-09,35.903137
2002-05-08,35.721181
2002-05-07,35.044378
2002-05-06,35.406297
2002-05-03,35.741628
2002-05-02,36.129956
2002-04-30,35.732886
2002-04-29,35.948655
2002-04-26,36.381836
2002-04-25,36.075496
2002-04-24,36.776538
2002-04-23,37.003517
2002-04-22,37.000808
2002-04-19,37.405114
2002-04-18,37.734575
2002-04-17,38.072314
2002-04-16,37.639972
2002-04-15,36.862627
2002-04-12,36.449836
2002-04-11,36.707706
2002-04-10,36.798272
2002-04-09,36.778206
2002-04-08,36.402495
2002-04-05,37.3197
2002-04-04,37.314751
2002-04-03,37.883865
2002-04-02,37.809509
2002-03-28,38.202667
2002-03-27,37.659245
2002-03-26,37.51406
2002-03-25,37.818611
2002-03-22,37.712937
2002-03-21,37.771426
2002-03-20,37.94176
2002-03-19,38.26144
2002-03-18,38.317997
2002-03-15,37.619064
2002-03-14,37.380706000000004
2002-03-13,37.549427
2002-03-12,37.49223
2002-03-11,37.9454
2002-03-08,38.427745
2002-03-07,38.227003
2002-03-06,37.625973
2002-03-05,37.787029
2002-03-04,37.557672
2002-03-01,36.542261
2002-02-28,36.549727
2002-02-27,36.094625
2002-02-26,35.896013
2002-02-25,35.154359
2002-02-22,34.695241
2002-02-21,35.045053
2002-02-20,34.993706
2002-02-19,35.149698
2002-02-18,35.859261
2002-02-15,36.074271
2002-02-14,36.402955
2002-02-13,36.151879
2002-02-12,35.707799
2002-02-11,35.864467
2002-02-08,35.584464
2002-02-07,35.462806
2002-02-06,35.508771
2002-02-05,35.871058
2002-02-04,36.805705
2002-02-01,37.403176
2002-01-31,37.219625
2002-01-30,36.72406
2002-01-29,37.742339
2002-01-28,37.822415
2002-01-25,37.239165
2002-01-24,37.540557
2002-01-23,36.59204
2002-01-22,36.854825
2002-01-21,36.409842
2002-01-18,36.703357
2002-01-17,36.725659
2002-01-16,36.292014
2002-01-15,36.626319
2002-01-14,36.517538
2002-01-11,37.245822
2002-01-10,37.088448
2002-01-09,37.564392
2002-01-08,37.747716
2002-01-07,38.278247
2002-01-04,38.812267
2002-01-03,38.480255
2002-01-02,38.0501
2001-12-28,38.451445
2001-12-27,37.928896
2001-12-21,37.190324
2001-12-20,36.755685
2001-12-19,36.694142
2001-12-18,37.548877
2001-12-17,36.882906
2001-12-14,36.31869
2001-12-13,36.539642
2001-12-12,37.592924
2001-12-11,37.724295
2001-12-10,37.729075
2001-12-07,38.44233
2001-12-06,38.643917
2001-12-05,38.194944
2001-12-04,37.15463
2001-12-03,36.454749
2001-11-30,36.702041
2001-11-29,36.657605
2001-11-28,36.799784
2001-11-27,37.661475
2001-11-26,38.226303
2001-11-23,37.832806
2001-11-22,38.239544
2001-11-21,37.759475
2001-11-20,37.958777
2001-11-19,38.484183
2001-11-16,37.721511
2001-11-15,37.366436
2001-11-14,37.706466
2001-11-13,37.170772
2001-11-12,36.03618
2001-11-09,37.093973
2001-11-08,37.382559
2001-11-07,36.304712
2001-11-06,36.343069
2001-11-05,36.230073
2001-11-02,35.461861
2001-11-01,35.080899
2001-10-31,35.330165
2001-10-30,34.792125
2001-10-29,36.016168
2001-10-26,36.10525
2001-10-25,35.603985
2001-10-24,36.346749
2001-10-23,35.838179
2001-10-22,34.761055
2001-10-19,34.33361
2001-10-18,34.959082
2001-10-17,35.812053
2001-10-16,34.938716
2001-10-15,34.30197
2001-10-12,35.214959
2001-10-11,35.898739
2001-10-10,34.518324
2001-10-09,33.947264
2001-10-08,33.417894
2001-10-05,33.79162
2001-10-04,33.781875
2001-10-03,32.3341
2001-10-02,32.443383
2001-10-01,32.575421
2001-09-28,33.039908
2001-09-27,31.934985
2001-09-26,31.981881
2001-09-25,31.345289
2001-09-24,30.348051
2001-09-21,28.320039
2001-09-20,30.597003
2001-09-19,32.273079
2001-09-18,31.874996
2001-09-17,31.785645
2001-09-14,31.890857
2001-09-13,33.10033
2001-09-12,32.715416
2001-09-11,33.686752
2001-09-10,34.344196
2001-09-07,35.159773
2001-09-06,36.203909
2001-09-05,37.324639
2001-09-04,37.160831
2001-09-03,37.1278
2001-08-31,37.720158
2001-08-30,38.348967
2001-08-29,38.650729
2001-08-28,39.436899
2001-08-27,39.562971
2001-08-24,38.996906
2001-08-23,38.652857
2001-08-22,38.705375
2001-08-21,38.208647
2001-08-20,37.726903
2001-08-17,38.096824
2001-08-16,38.775581
2001-08-15,39.456934
2001-08-14,39.847202
2001-08-13,39.17701
2001-08-10,38.89676
2001-08-09,39.503597
2001-08-08,40.236237
2001-08-07,40.65821
2001-08-06,40.6666
2001-08-03,40.854433
2001-08-02,41.539126
2001-08-01,41.358879
2001-07-31,41.027334
2001-07-30,40.846584
2001-07-27,40.088305
2001-07-26,39.482304
2001-07-25,39.059979
2001-07-24,39.922177
2001-07-23,40.428082
2001-07-20,39.659338
2001-07-19,40.062083
2001-07-18,39.646973
2001-07-17,40.126828
2001-07-16,40.536071
2001-07-13,40.48316
2001-07-12,40.659565
2001-07-11,40.077442
2001-07-10,41.003146
2001-07-09,41.005223
2001-07-06,41.296862
2001-07-05,42.164172
2001-07-04,42.352277
2001-07-03,42.815993
2001-07-02,42.968688
2001-06-29,42.389739
2001-06-28,41.895412
2001-06-27,41.788814
2001-06-26,41.735166
2001-06-25,42.586248
2001-06-22,42.28939
2001-06-21,41.941542
2001-06-20,41.95328
2001-06-19,42.495198
2001-06-18,42.171906
2001-06-15,42.412701
2001-06-14,43.512618
2001-06-13,43.899424
2001-06-12,43.593549
2001-06-11,44.89547
2001-06-08,45.203361
2001-06-07,44.885094
2001-06-06,45.28102
2001-06-05,45.083683
2001-06-04,44.682119
2001-06-01,44.814791
2001-05-31,44.82119
2001-05-30,44.773245
2001-05-29,45.244656
2001-05-28,45.515412
2001-05-25,45.56493
2001-05-24,46.082772
2001-05-23,45.955051
2001-05-22,46.270433
2001-05-21,45.634606
2001-05-18,45.652432
2001-05-17,45.350178
2001-05-16,44.192472
2001-05-15,44.69813
2001-05-14,44.538237
2001-05-11,45.192702
2001-05-10,45.382844
2001-05-09,44.216615
2001-05-08,44.757357
2001-05-07,44.672864
2001-05-04,43.840911
2001-05-03,44.250245
2001-05-02,45.270556
2001-04-30,45.394222
2001-04-27,44.875399
2001-04-26,44.061726
2001-04-25,43.611497
2001-04-24,43.757808
2001-04-23,43.415275
2001-04-20,44.037903
2001-04-19,44.208119
2001-04-18,44.011822
2001-04-17,42.772983
2001-04-12,43.366774
2001-04-11,43.273437
2001-04-10,43.000419
2001-04-09,42.1285
2001-04-06,41.275288
2001-04-05,41.633881
2001-04-04,40.021656
2001-04-03,40.722938
2001-04-02,41.455205
2001-03-30,42.152871
2001-03-29,41.335447
2001-03-28,41.663111
2001-03-27,41.919276
2001-03-26,41.403735
2001-03-23,39.870255
2001-03-22,39.571093
2001-03-21,40.494704
2001-03-20,41.298954
2001-03-19,40.895576
2001-03-16,41.465533
2001-03-15,41.724525
2001-03-14,40.855296
2001-03-13,41.950922
2001-03-12,42.373427
2001-03-09,43.469104
2001-03-08,44.064831
2001-03-07,44.050722
2001-03-06,44.145617
2001-03-05,43.266188
2001-03-02,42.708486
2001-03-01,42.494753
2001-02-28,43.437003
2001-02-27,43.380335
2001-02-26,43.034805
2001-02-23,42.370736
2001-02-22,43.395298
2001-02-21,43.992256
2001-02-20,45.329094
2001-02-19,45.195353
2001-02-16,45.208472
2001-02-15,45.970277
2001-02-14,45.642099
2001-02-13,46.436865
2001-02-12,45.91407
2001-02-09,45.936143
2001-02-08,46.461489
2001-02-07,46.438976
2001-02-06,46.854449
2001-02-05,46.524825
2001-02-02,46.92059
2001-02-01,47.236342
2001-01-31,47.44736
2001-01-30,47.279694
2001-01-29,47.577593
2001-01-26,47.550069
2001-01-25,47.89927
2001-01-24,47.805562
2001-01-23,47.109261
2001-01-22,47.197813
2001-01-19,47.474328
2001-01-18,47.575773
2001-01-17,47.765083
2001-01-16,46.961212
2001-01-15,47.623035
2001-01-12,47.164788
2001-01-11,46.498601
2001-01-10,45.926187
2001-01-09,46.452649
2001-01-08,46.984019
2001-01-05,47.106871
2001-01-04,47.462461
2001-01-03,46.162805
2001-01-02,47.772146
2000-12-29,47.846649
2000-12-28,47.555163
2000-12-27,47.049
