type,values,model,period,lambda
N_observations,3610,floor,all,0.91
perc_breaches,0.005817174515235457,floor,all,0.91
conf_level,0.9941828254847646,floor,all,0.91
avg_shortfall,-0.026404778850319794,floor,all,0.91
max_shortfall,-0.07916133410741262,floor,all,0.91
costs,0.08239700661641619,floor,all,0.91
peak_to_through,2.8585483848634867,floor,all,0.91
max_1d,1.248199869007978,floor,all,0.91
max_5d,1.8586670372597014,floor,all,0.91
max_30d,2.846535484425762,floor,all,0.91
n_breaches,21,cap,all,0.91
N_observations,3610,cap,all,0.91
perc_breaches,0.005817174515235457,cap,all,0.91
conf_level,0.9941828254847646,cap,all,0.91
avg_shortfall,-0.026404778850319794,cap,all,0.91
max_shortfall,-0.07916133410741262,cap,all,0.91
costs,0.08108862565918248,cap,all,0.91
peak_to_through,1.9525292017378366,cap,all,0.91
max_1d,1.248199869007978,cap,all,0.91
max_5d,1.5568511826423144,cap,all,0.91
max_30d,1.9525292017378366,cap,all,0.91
n_breaches,21,buffer,all,0.91
N_observations,3610,buffer,all,0.91
perc_breaches,0.005817174515235457,buffer,all,0.91
conf_level,0.9941828254847646,buffer,all,0.91
avg_shortfall,-0.019582849358455574,buffer,all,0.91
max_shortfall,-0.05438959221679093,buffer,all,0.91
costs,0.0879942846139886,buffer,all,0.91
peak_to_through,5.320634811535838,buffer,all,0.91
max_1d,1.38495959129397,buffer,all,0.91
max_5d,2.013242051126247,buffer,all,0.91
max_30d,4.0250259251097695,buffer,all,0.91
n_breaches,13,baseline,2020,0.91
N_observations,254,baseline,2020,0.91
perc_breaches,0.051181102362204724,baseline,2020,0.91
conf_level,0.9488188976377953,baseline,2020,0.91
avg_shortfall,-0.028642812645438456,baseline,2020,0.91
max_shortfall,-0.050354516155797405,baseline,2020,0.91
costs,0.10531313067452103,baseline,2020,0.91
peak_to_through,5.340152892524963,baseline,2020,0.91
max_1d,1.248199869007978,baseline,2020,0.91
max_5d,1.8586670372597014,baseline,2020,0.91
max_30d,5.031282406387213,baseline,2020,0.91
n_breaches,13,speed,2020,0.91
N_observations,254,speed,2020,0.91
perc_breaches,0.051181102362204724,speed,2020,0.91
conf_level,0.9488188976377953,speed,2020,0.91
avg_shortfall,-0.037744763019894684,speed,2020,0.91
max_shortfall,-0.09002445561049675,speed,2020,0.91
costs,0.0958742072286469,speed,2020,0.91
peak_to_through,4.5822694983046315,speed,2020,0.91
max_1d,1.1907989225834783,speed,2020,0.91
max_5d,1.5929039977729562,speed,2020,0.91
max_30d,1.8000000000000003,speed,2020,0.91
n_breaches,8,floor,2020,0.91
N_observations,254,floor,2020,0.91
perc_breaches,0.031496062992125984,floor,2020,0.91
conf_level,0.9685039370078741,floor,2020,0.91
avg_shortfall,-0.03130776100733942,floor,2020,0.91
max_shortfall,-0.050354516155797405,floor,2020,0.91
costs,0.11056891963098885,floor,2020,0.91
peak_to_through,2.8585483848634867,floor,2020,0.91
max_1d,1.248199869007978,floor,2020,0.91
max_5d,1.8586670372597014,floor,2020,0.91
max_30d,2.846535484425762,floor,2020,0.91
n_breaches,8,cap,2020,0.91
N_observations,254,cap,2020,0.91
perc_breaches,0.031496062992125984,cap,2020,0.91
conf_level,0.9685039370078741,cap,2020,0.91
avg_shortfall,-0.03130776100733942,cap,2020,0.91
max_shortfall,-0.050354516155797405,cap,2020,0.91
costs,0.1028890817055573,cap,2020,0.91
peak_to_through,1.9525292017378366,cap,2020,0.91
max_1d,1.248199869007978,cap,2020,0.91
max_5d,1.5568511826423144,cap,2020,0.91
max_30d,1.9525292017378366,cap,2020,0.91
n_breaches,10,buffer,2020,0.91
N_observations,254,buffer,2020,0.91
perc_breaches,0.03937007874015748,buffer,2020,0.91
conf_level,0.9606299212598425,buffer,2020,0.91
avg_shortfall,-0.01710405009685302,buffer,2020,0.91
max_shortfall,-0.02802793251590044,buffer,2020,0.91
costs,0.1264863667295431,buffer,2020,0.91
peak_to_through,4.2721223140199704,buffer,2020,0.91
max_1d,1.248199869007978,buffer,2020,0.91
max_5d,1.7458595689817857,buffer,2020,0.91
max_30d,4.0250259251097695,buffer,2020,0.91
kpf,1,baseline,all,0.91
kpf,1,floor,all,0.91
kpf,1,cap,all,0.91
kpf,1,speed,all,0.91
kpf,1,buffer,all,0.91
n_breaches,40,baseline,all,0.915
N_observations,3610,baseline,all,0.915
perc_breaches,0.0110803324099723,baseline,all,0.915
conf_level,0.9889196675900277,baseline,all,0.915
avg_shortfall,-0.021396080177084942,baseline,all,0.915
max_shortfall,-0.07904103456750335,baseline,all,0.915
costs,0.07176429987964074,baseline,all,0.915
peak_to_through,6.53957618591816,baseline,all,0.915
max_1d,1.3725307140269225,baseline,all,0.915
max_5d,1.9791404951209273,baseline,all,0.915
max_30d,4.965187990836226,baseline,all,0.915
n_breaches,40,speed,all,0.915
N_observations,3610,speed,all,0.915
perc_breaches,0.0110803324099723,speed,all,0.915
conf_level,0.9889196675900277,speed,all,0.915
avg_shortfall,-0.024239526844705265,speed,all,0.915
max_shortfall,-0.09011713140128975,speed,all,0.915
costs,0.07095614590860884,speed,all,0.915
peak_to_through,6.308705352175645,speed,all,0.915
max_1d,1.3725307140269225,speed,all,0.915
max_5d,1.71847604753663,speed,all,0.915
max_30d,1.8000000000000003,speed,all,0.915
n_breaches,21,floor,all,0.915
N_observations,3610,floor,all,0.915
perc_breaches,0.005817174515235457,floor,all,0.915
conf_level,0.9941828254847646,floor,all,0.915
avg_shortfall,-0.0264112285905002,floor,all,0.915
max_shortfall,-0.07904103456750335,floor,all,0.915
costs,0.08271853212171351,floor,all,0.915
peak_to_through,2.852958095998208,floor,all,0.915
max_1d,1.2498292157440987,floor,all,0.915
max_5d,1.856040199691431,floor,all,0.915
max_30d,2.8379222248310385,floor,all,0.915
n_breaches,21,cap,all,0.915
N_observations,3610,cap,all,0.915
perc_breaches,0.005817174515235457,cap,all,0.915
conf_level,0.9941828254847646,cap,all,0.915
avg_shortfall,-0.0264112285905002,cap,all,0.915
max_shortfall,-0.07904103456750335,cap,all,0.915
costs,0.08146053121410182,cap,all,0.915
peak_to_through,1.9804532834195607,cap,all,0.915
max_1d,1.2498292157440987,cap,all,0.915
max_5d,1.576114761781359,cap,all,0.915
max_30d,1.9804532834195607,cap,all,0.915
n_breaches,21,buffer,all,0.915
N_observations,3610,buffer,all,0.915
perc_breaches,0.005817174515235457,buffer,all,0.915
conf_level,0.9941828254847646,buffer,all,0.915
avg_shortfall,-0.01950467054743702,buffer,all,0.915
max_shortfall,-0.05423921779190434,buffer,all,0.915
costs,0.08880712134665567,buffer,all,0.915
peak_to_through,5.231660948734528,buffer,all,0.915
max_1d,1.3725307140269227,buffer,all,0.915
max_5d,1.9791404951209273,buffer,all,0.915
max_30d,3.9721503926689805,buffer,all,0.915
n_breaches,13,baseline,2020,0.915
N_observations,254,baseline,2020,0.915
perc_breaches,0.051181102362204724,baseline,2020,0.915
conf_level,0.9488188976377953,baseline,2020,0.915
avg_shortfall,-0.028566220195007277,baseline,2020,0.915
max_shortfall,-0.050853857748240736,baseline,2020,0.915
costs,0.10719796259711624,baseline,2020,0.915
peak_to_through,5.282599672934958,baseline,2020,0.915
max_1d,1.2498292157440987,baseline,2020,0.915
max_5d,1.856040199691431,baseline,2020,0.915
max_30d,4.965187990836226,baseline,2020,0.915
n_breaches,13,speed,2020,0.915
N_observations,254,speed,2020,0.915
perc_breaches,0.051181102362204724,speed,2020,0.915
conf_level,0.9488188976377953,speed,2020,0.915
avg_shortfall,-0.03731528686460827,speed,2020,0.915
max_shortfall,-0.09011713140128975,speed,2020,0.915
costs,0.09783390837377062,speed,2020,0.915
peak_to_through,4.556950954111954,speed,2020,0.915
max_1d,1.1840258932791479,speed,2020,0.915
max_5d,1.5964060151941604,speed,2020,0.915
max_30d,1.8000000000000003,speed,2020,0.915
n_breaches,8,floor,2020,0.915
N_observations,254,floor,2020,0.915
perc_breaches,0.031496062992125984,floor,2020,0.915
conf_level,0.9685039370078741,floor,2020,0.915
avg_shortfall,-0.031666708837894714,floor,2020,0.915
max_shortfall,-0.050853857748240736,floor,2020,0.915
costs,0.112354292398833,floor,2020,0.915
peak_to_through,2.852958095998208,floor,2020,0.915
max_1d,1.2498292157440987,floor,2020,0.915
max_5d,1.856040199691431,floor,2020,0.915
max_30d,2.8379222248310385,floor,2020,0.915
n_breaches,8,cap,2020,0.915
N_observations,254,cap,2020,0.915
perc_breaches,0.031496062992125984,cap,2020,0.915
conf_level,0.9685039370078741,cap,2020,0.915
avg_shortfall,-0.031666708837894714,cap,2020,0.915
max_shortfall,-0.050853857748240736,cap,2020,0.915
costs,0.1048122589533251,cap,2020,0.915
peak_to_through,1.9804532834195607,cap,2020,0.915
max_1d,1.2498292157440987,cap,2020,0.915
max_5d,1.576114761781359,cap,2020,0.915
max_30d,1.9804532834195607,cap,2020,0.915
n_breaches,10,buffer,2020,0.915
N_observations,254,buffer,2020,0.915
perc_breaches,0.03937007874015748,buffer,2020,0.915
conf_level,0.9606299212598425,buffer,2020,0.915
avg_shortfall,-0.01727224137325379,buffer,2020,0.915
max_shortfall,-0.02870530250323848,buffer,2020,0.915
costs,0.128610416134355,buffer,2020,0.915
peak_to_through,4.226079738347966,buffer,2020,0.915
max_1d,1.2498292157440984,buffer,2020,0.915
max_5d,1.7269688952235178,buffer,2020,0.915
max_30d,3.9721503926689805,buffer,2020,0.915
kpf,1,baseline,all,0.915
kpf,1,floor,all,0.915
kpf,1,cap,all,0.915
kpf,1,speed,all,0.915
kpf,1,buffer,all,0.915
n_breaches,39,baseline,all,0.92
N_observations,3610,baseline,all,0.92
perc_breaches,0.010803324099722992,baseline,all,0.92
conf_level,0.989196675900277,baseline,all,0.92
avg_shortfall,-0.021608611561738267,baseline,all,0.92
max_shortfall,-0.07895016401225724,baseline,all,0.92
costs,0.07249422687504611,baseline,all,0.92
peak_to_through,6.436596925100777,baseline,all,0.92
max_1d,1.3593513592105604,baseline,all,0.92
max_5d,1.943234032866006,baseline,all,0.92
max_30d,4.901807320172354,baseline,all,0.92
n_breaches,39,speed,all,0.92
N_observations,3610,speed,all,0.92
perc_breaches,0.010803324099722992,speed,all,0.92
conf_level,0.989196675900277,speed,all,0.92
avg_shortfall,-0.02439128788973659,speed,all,0.92
max_shortfall,-0.09018627758576202,speed,all,0.92
costs,0.07171020907376362,speed,all,0.92
peak_to_through,6.164842638682896,speed,all,0.92
max_1d,1.3593513592105604,speed,all,0.92
max_5d,1.7184115898880976,speed,all,0.92
max_30d,1.8000000000000003,speed,all,0.92
n_breaches,20,floor,all,0.92
N_observations,3610,floor,all,0.92
perc_breaches,0.00554016620498615,floor,all,0.92
conf_level,0.9944598337950139,floor,all,0.92
avg_shortfall,-0.02758983214329553,floor,all,0.92
max_shortfall,-0.07895016401225724,floor,all,0.92
costs,0.08309174178005742,floor,all,0.92
peak_to_through,2.849260534765247,floor,all,0.92
max_1d,1.2488916322880128,floor,all,0.92
max_5d,1.8556043236722293,floor,all,0.92
max_30d,2.8312745781114024,floor,all,0.92
n_breaches,20,cap,all,0.92
N_observations,3610,cap,all,0.92
perc_breaches,0.00554016620498615,cap,all,0.92
conf_level,0.9944598337950139,cap,all,0.92
avg_shortfall,-0.02758983214329553,cap,all,0.92
max_shortfall,-0.07895016401225724,cap,all,0.92
costs,0.08187641915658488,cap,all,0.92
peak_to_through,2.0058866086809655,cap,all,0.92
max_1d,1.2488916322880128,cap,all,0.92
max_5d,1.603188549259051,cap,all,0.92
max_30d,2.0058866086809655,cap,all,0.92
n_breaches,21,buffer,all,0.92
N_observations,3610,buffer,all,0.92
perc_breaches,0.005817174515235457,buffer,all,0.92
conf_level,0.9941828254847646,buffer,all,0.92
avg_shortfall,-0.019441068399976735,buffer,all,0.92
max_shortfall,-0.05412562959784671,buffer,all,0.92
costs,0.08969012359945235,buffer,all,0.92
peak_to_through,5.149277540080622,buffer,all,0.92
max_1d,1.3593513592105604,buffer,all,0.92
max_5d,1.9432340328660058,buffer,all,0.92
max_30d,3.921445856137883,buffer,all,0.92
n_breaches,12,baseline,2020,0.92
N_observations,254,baseline,2020,0.92
perc_breaches,0.047244094488188976,baseline,2020,0.92
conf_level,0.952755905511811,baseline,2020,0.92
avg_shortfall,-0.030867512088588924,baseline,2020,0.92
max_shortfall,-0.05161129122002435,baseline,2020,0.92
costs,0.10932647061941612,baseline,2020,0.92
peak_to_through,5.225059563381332,baseline,2020,0.92
max_1d,1.2488916322880128,baseline,2020,0.92
max_5d,1.8556043236722293,baseline,2020,0.92
max_30d,4.901807320172354,baseline,2020,0.92
n_breaches,12,speed,2020,0.92
N_observations,254,speed,2020,0.92
perc_breaches,0.047244094488188976,speed,2020,0.92
conf_level,0.952755905511811,speed,2020,0.92
avg_shortfall,-0.03991121015458348,speed,2020,0.92
max_shortfall,-0.09018627758576202,speed,2020,0.92
costs,0.10002750361482073,speed,2020,0.92
peak_to_through,4.52648521278402,speed,2020,0.92
max_1d,1.176922376913461,speed,2020,0.92
max_5d,1.6008606588562169,speed,2020,0.92
max_30d,1.8000000000000003,speed,2020,0.92
n_breaches,7,floor,2020,0.92
N_observations,254,floor,2020,0.92
perc_breaches,0.027559055118110236,floor,2020,0.92
conf_level,0.9724409448818898,floor,2020,0.92
avg_shortfall,-0.0362486152177201,floor,2020,0.92
max_shortfall,-0.05161129122002435,floor,2020,0.92
costs,0.11443378369226617,floor,2020,0.92
peak_to_through,2.849260534765247,floor,2020,0.92
max_1d,1.2488916322880128,floor,2020,0.92
max_5d,1.8556043236722293,floor,2020,0.92
max_30d,2.8312745781114024,floor,2020,0.92
n_breaches,7,cap,2020,0.92
N_observations,254,cap,2020,0.92
perc_breaches,0.027559055118110236,cap,2020,0.92
conf_level,0.9724409448818898,cap,2020,0.92
avg_shortfall,-0.0362486152177201,cap,2020,0.92
max_shortfall,-0.05161129122002435,cap,2020,0.92
costs,0.10692772436037039,cap,2020,0.92
peak_to_through,2.0058866086809655,cap,2020,0.92
max_1d,1.2488916322880128,cap,2020,0.92
max_5d,1.603188549259051,cap,2020,0.92
max_30d,2.0058866086809655,cap,2020,0.92
n_breaches,10,buffer,2020,0.92
N_observations,254,buffer,2020,0.92
perc_breaches,0.03937007874015748,buffer,2020,0.92
conf_level,0.9606299212598425,buffer,2020,0.92
avg_shortfall,-0.017482775571470245,buffer,2020,0.92
max_shortfall,-0.02945683763130262,buffer,2020,0.92
costs,0.1309689081463568,buffer,2020,0.92
peak_to_through,4.180047650705066,buffer,2020,0.92
max_1d,1.248891632288013,buffer,2020,0.92
max_5d,1.727816285807846,buffer,2020,0.92
max_30d,3.921445856137883,buffer,2020,0.92
kpf,1,baseline,all,0.92
kpf,1,floor,all,0.92
kpf,1,cap,all,0.92
kpf,1,speed,all,0.92
kpf,1,buffer,all,0.92
n_breaches,37,baseline,all,0.925
N_observations,3610,baseline,all,0.925
perc_breaches,0.010249307479224376,baseline,all,0.925
conf_level,0.9897506925207756,baseline,all,0.925
avg_shortfall,-0.022597227257127626,baseline,all,0.925
max_shortfall,-0.07942432856882298,baseline,all,0.925
costs,0.07326167746385621,baseline,all,0.925
peak_to_through,6.358200959984288,baseline,all,0.925
max_1d,1.3472320470036623,baseline,all,0.925
max_5d,1.9052725853544383,baseline,all,0.925
max_30d,4.858935002271235,baseline,all,0.925
n_breaches,37,speed,all,0.925
N_observations,3610,speed,all,0.925
perc_breaches,0.010249307479224376,speed,all,0.925
conf_level,0.9897506925207756,speed,all,0.925
avg_shortfall,-0.025363329661659644,speed,all,0.925
max_shortfall,-0.09021923909494314,speed,all,0.925
costs,0.07249335351776691,speed,all,0.925
