BUCKET,DATE,LOG_RET,PRICE,LOG_RET_MPOR,RET_MPOR,EWMA_VOL,EWMA_MEAN,deval,MARGIN_LONG,MARGIN_SHORT,BREACH,COLOR,SIZE
2,2006-12-11,0.0089154004478926,4056,0.01190497055921579,0.011976116772096201,0.014356747306890495,0.0020352925794581045,0.7163045057491699,0.04166345120196714,0.03495491482427265,FALSE,black,0.5
3,2006-12-08,-2.48729930724719e-4,4020,0.0017428703039670608,0.0017443899851561362,0.012992924876630238,0.001640854186825651,0.013367481589814868,0.04175479220880538,0.035027649494655484,FALSE,black,0.5
1,2006-12-07,0.00323830004204791,4021,0.013268600178076179,0.013357018683899158,0.013186373168261302,0.001643577389751596,0.923751359316954,0.042083380296297525,0.03531766013949913,FALSE,black,0.5
2,2006-12-06,-0.00124669980735613,4008,0.01761950016782966,0.01777563924368808,0.01444853587235042,0.0015554192123726721,1.1775885670351807,0.04205720015091409,0.03529478082814191,FALSE,black,0.5
3,2006-12-05,0.0112769999433844,4013,0.004746200322892289,0.00475748137195664,0.013311046949996483,0.0015649351289218215,0.24401587041558426,0.04188861845823292,0.03514313569106648,FALSE,black,0.5
1,2006-12-04,0.00758920003180139,3968,-0.01475919923855036,-0.014650816128613964,0.013165598653016072,0.0011068605261311236,-1.268954020052082,0.04214075835804939,0.03536720372481421,FALSE,black,0.5
2,2006-12-01,-0.0141199996522935,3938,-0.01060839954318125,-0.010552328921090703,0.014283447889172688,7.994752356971191e-4,-0.828833585816738,0.04205296185204296,0.03529112154620576,FALSE,black,0.5
3,2006-11-30,-0.00822839961805825,3994,0.0012527999397255805,0.00125358502138595,0.01355361900934728,0.0014389021830452041,-0.016599208029774513,0.04219327008881182,0.03540611575892921,FALSE,black,0.5
1,2006-11-29,0.0117399997271705,4027,-0.007175800196444071,-0.007150115614743213,0.013083925315238165,0.0018437003882823143,-0.7110102077797695,0.042499294073517144,0.03567687281537856,FALSE,black,0.5
2,2006-11-28,-0.00225880016938667,3980,-0.02799669977147828,-0.027608424089635375,0.01442368407688279,0.0013464342509492994,-2.273827702134988,0.0426851354079633,0.03583716556526506,FALSE,black,0.5
3,2006-11-27,-0.0166569997542279,3989,-0.028421800042874153,-0.028021700164348573,0.013849470216312833,0.0014826901769483234,-2.4411054883564707,0.041739297403666165,0.035014279524563964,FALSE,black,0.5
1,2006-11-24,-0.00908089984786371,4056,-0.012495530206733888,-0.01241778522765069,0.013272845167229146,0.0022613282037362353,-1.1607538480979978,0.040318989576629286,0.03411427307353808,FALSE,black,0.5
2,2006-11-23,-0.00268390044078254,4093,-0.0026839004070441552,-0.00268030196635205,0.013490205984646172,0.0026777043039173877,-0.408156303556237,0.04033147329863401,0.03412683683798837,FALSE,black,0.5
