Date,Valid_From,Valid_To,Conf_Level,Anchor ,Liq_Group
27/03/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
28/03/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
29/03/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
30/03/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
31/03/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
01/04/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
02/04/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
03/04/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
04/04/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
05/04/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
06/04/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
07/04/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
08/04/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
09/04/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
10/04/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
11/04/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
12/04/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
13/04/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
14/04/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
15/04/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
16/04/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
17/04/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
18/04/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
19/04/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
20/04/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
22/06/2016,29/11/2021,31/12/9999,91.9,1,PEQ01
23/06/2016,29/11/2021,31/12/9999,91.9,1,PEQ01
24/06/2016,29/11/2021,31/12/9999,91.9,1,PEQ01
25/06/2016,29/11/2021,31/12/9999,91.9,1,PEQ01
26/06/2016,29/11/2021,31/12/9999,91.9,1,PEQ01
27/06/2016,29/11/2021,31/12/9999,91.9,1,PEQ01
28/06/2016,29/11/2021,31/12/9999,91.9,1,PEQ01
29/06/2016,29/11/2021,31/12/9999,91.9,1,PEQ01
30/06/2016,29/11/2021,31/12/9999,91.9,1,PEQ01
01/07/2016,29/11/2021,31/12/9999,91.9,1,PEQ01
02/07/2016,29/11/2021,31/12/9999,91.9,1,PEQ01
03/07/2016,29/11/2021,31/12/9999,91.9,1,PEQ01
04/07/2016,29/11/2021,31/12/9999,91.9,1,PEQ01
05/07/2016,29/11/2021,31/12/9999,91.9,1,PEQ01
06/07/2016,29/11/2021,31/12/9999,91.9,1,PEQ01
07/07/2016,29/11/2021,31/12/9999,91.9,1,PEQ01
08/07/2016,29/11/2021,31/12/9999,91.9,1,PEQ01
09/07/2016,29/11/2021,31/12/9999,91.9,1,PEQ01
10/07/2016,29/11/2021,31/12/9999,91.9,1,PEQ01
11/07/2016,29/11/2021,31/12/9999,91.9,1,PEQ01
12/07/2016,29/11/2021,31/12/9999,91.9,1,PEQ01
06/02/2018,29/11/2021,31/12/9999,91.9,1,PEQ01
07/02/2018,29/11/2021,31/12/9999,91.9,1,PEQ01
08/02/2018,29/11/2021,31/12/9999,91.9,1,PEQ01
09/02/2018,29/11/2021,31/12/9999,91.9,1,PEQ01
10/02/2018,29/11/2021,31/12/9999,91.9,1,PEQ01
11/02/2018,29/11/2021,31/12/9999,91.9,1,PEQ01
12/02/2018,29/11/2021,31/12/9999,91.9,1,PEQ01
13/02/2018,29/11/2021,31/12/9999,91.9,1,PEQ01
14/02/2018,29/11/2021,31/12/9999,91.9,1,PEQ01
15/02/2018,29/11/2021,31/12/9999,91.9,1,PEQ01
16/02/2018,29/11/2021,31/12/9999,91.9,1,PEQ01
17/02/2018,29/11/2021,31/12/9999,91.9,1,PEQ01
18/02/2018,29/11/2021,31/12/9999,91.9,1,PEQ01
19/02/2018,29/11/2021,31/12/9999,91.9,1,PEQ01
20/02/2018,29/11/2021,31/12/9999,91.9,1,PEQ01
21/02/2018,29/11/2021,31/12/9999,91.9,1,PEQ01
22/02/2018,29/11/2021,31/12/9999,91.9,1,PEQ01
23/02/2018,29/11/2021,31/12/9999,91.9,1,PEQ01
24/02/2018,29/11/2021,31/12/9999,91.9,1,PEQ01
25/02/2018,29/11/2021,31/12/9999,91.9,1,PEQ01
26/02/2018,29/11/2021,31/12/9999,91.9,1,PEQ01
27/02/2018,29/11/2021,31/12/9999,91.9,1,PEQ01
28/02/2018,29/11/2021,31/12/9999,91.9,1,PEQ01
01/03/2018,29/11/2021,31/12/9999,91.9,1,PEQ01
02/03/2018,29/11/2021,31/12/9999,91.9,1,PEQ01
03/03/2018,29/11/2021,31/12/9999,91.9,1,PEQ01
04/03/2018,29/11/2021,31/12/9999,91.9,1,PEQ01
05/03/2018,29/11/2021,31/12/9999,91.9,1,PEQ01
06/03/2018,29/11/2021,31/12/9999,91.9,1,PEQ01
07/03/2018,29/11/2021,31/12/9999,91.9,1,PEQ01
08/03/2018,29/11/2021,31/12/9999,91.9,1,PEQ01
09/03/2018,29/11/2021,31/12/9999,91.9,1,PEQ01
10/03/2018,29/11/2021,31/12/9999,91.9,1,PEQ01
11/03/2018,29/11/2021,31/12/9999,91.9,1,PEQ01
12/03/2018,29/11/2021,31/12/9999,91.9,1,PEQ01
13/03/2018,29/11/2021,31/12/9999,91.9,1,PEQ01
14/03/2018,29/11/2021,31/12/9999,91.9,1,PEQ01
15/03/2018,29/11/2021,31/12/9999,91.9,1,PEQ01
16/03/2018,29/11/2021,31/12/9999,91.9,1,PEQ01
17/03/2018,29/11/2021,31/12/9999,91.9,1,PEQ01
18/03/2018,29/11/2021,31/12/9999,91.9,1,PEQ01
19/03/2018,29/11/2021,31/12/9999,91.9,1,PEQ01
20/03/2020,29/11/2021,31/12/9999,91.9,1,PEQ01
21/03/2020,29/11/2021,31/12/9999,91.9,1,PEQ01
22/03/2020,29/11/2021,31/12/9999,91.9,1,PEQ01
23/03/2020,29/11/2021,31/12/9999,91.9,1,PEQ01
24/03/2020,29/11/2021,31/12/9999,91.9,1,PEQ01
25/03/2020,29/11/2021,31/12/9999,91.9,1,PEQ01
26/03/2020,29/11/2021,31/12/9999,91.9,1,PEQ01
27/03/2020,29/11/2021,31/12/9999,91.9,1,PEQ01
28/03/2020,29/11/2021,31/12/9999,91.9,1,PEQ01
29/03/2020,29/11/2021,31/12/9999,91.9,1,PEQ01
30/03/2020,29/11/2021,31/12/9999,91.9,1,PEQ01
31/03/2020,29/11/2021,31/12/9999,91.9,1,PEQ01
