FACT_DATE,COLLATERAL_TYPE,SECURITY_TYPE,MARKET_VALUE_EUR,COLLATERAL_VALUE_EUR
30/08/2019,B,SOVEREIGN GOVERNMENT BONDS,22585459201,19670024199
30/08/2019,B,STATE AGENCIES,1523020436,1412346171
30/08/2019,B,STATE/MUNICIPAL BONDS,2059672096,1936863698
30/08/2019,B,null,1706878304,1670665647
30/08/2019,C,null,22906048064,22560252485
30/08/2019,S,STOCKS,813792098,607998175
02/09/2019,B,BANK BONDS,8819420924,7654516048
02/09/2019,B,CORPORATE BONDS,1951756770,1625408348
02/09/2019,B,SOVEREIGN GOVERNMENT BONDS,22839364239,19946486318
02/09/2019,B,STATE AGENCIES,1545436868,1431641365
02/09/2019,B,STATE/MUNICIPAL BONDS,2157763608,2032251486
02/09/2019,B,null,1408793590,1332567759
02/09/2019,C,null,22422064748,22066802412
02/09/2019,S,STOCKS,879083057,658018430
03/09/2019,B,BANK BONDS,8830640625,7659073781
03/09/2019,B,CORPORATE BONDS,1904041669,1589100137
03/09/2019,B,SOVEREIGN GOVERNMENT BONDS,23068348476,20223652687
03/09/2019,B,STATE AGENCIES,1484645799,1375497816
03/09/2019,B,STATE/MUNICIPAL BONDS,2207500993,2080062964
03/09/2019,B,null,1556264389,1477784789
03/09/2019,C,null,22229890049,21877086987
03/09/2019,S,STOCKS,789131790,589239120
04/09/2019,B,BANK BONDS,8842172122,7675267647
04/09/2019,B,CORPORATE BONDS,1920897204,1597820167
04/09/2019,B,SOVEREIGN GOVERNMENT BONDS,22853404473,20045996494
04/09/2019,B,STATE AGENCIES,1653591526,1534832549
04/09/2019,B,STATE/MUNICIPAL BONDS,2267518763,2138365647
04/09/2019,B,null,1563659130,1483774938
04/09/2019,C,null,22959774962,22604840918
04/09/2019,S,STOCKS,804239610,601340619
05/09/2019,B,BANK BONDS,8526812341,7396993950
05/09/2019,B,CORPORATE BONDS,1890223107,1573082614
05/09/2019,B,SOVEREIGN GOVERNMENT BONDS,22541662808,19689246235
05/09/2019,B,STATE AGENCIES,1610365292,1493542832
05/09/2019,B,STATE/MUNICIPAL BONDS,2162285736,2037712146
05/09/2019,B,null,1569239556,1488720804
05/09/2019,C,null,23249699812,22889409756
05/09/2019,S,STOCKS,841218570,629180870
06/09/2019,B,BANK BONDS,8781108731,7645641077
06/09/2019,B,CORPORATE BONDS,1883794622,1566462240
06/09/2019,B,SOVEREIGN GOVERNMENT BONDS,22601384310,19935861612
06/09/2019,B,STATE AGENCIES,1550965606,1440112866
06/09/2019,B,STATE/MUNICIPAL BONDS,2206926782,2082402572
06/09/2019,B,null,1194181347,1116981215
06/09/2019,C,null,21805711647,21470318962
06/09/2019,S,STOCKS,885775858,663243352
09/09/2019,B,BANK BONDS,8371797364,7360339653
