FACT_DATE,REQUIREMENT_CURRENT,REQUIREMENT_EOP
17/08/2017,3072840640,3092052019
18/08/2017,3070398059,3092052019
21/08/2017,3065618615,3092052019
22/08/2017,3060897697,3092052019
23/08/2017,3057447392,3092052019
24/08/2017,3052398267,3092052019
25/08/2017,3048034803,3092052019
28/08/2017,3043272176,3092052019
29/08/2017,3038252832,3092052019
30/08/2017,3036192136,3092052019
31/08/2017,3035824196,3092052019
01/09/2017,3036740415,3035824196
04/09/2017,3037210473,3035824196
05/09/2017,3037374697,3035824196
06/09/2017,3038712810,3035824196
07/09/2017,3039582525,3035824196
08/09/2017,3041449013,3035824196
11/09/2017,3043587685,3035824196
12/09/2017,3045343923,3035824196
13/09/2017,3047063900,3035824196
14/09/2017,3048221723,3035824196
15/09/2017,3050240671,3035824196
18/09/2017,3053193016,3035824196
19/09/2017,3055463576,3036824196
20/09/2017,3056717028,3036824196
21/09/2017,3057924463,3035824196
22/09/2017,3059755280,3035824196
25/09/2017,3061123808,3035824196
26/09/2017,3062149092,3035824196
27/09/2017,3063779302,3035824196
28/09/2017,3063369028,3035824196
29/09/2017,3064089997,3035824196
02/10/2017,3065794293,3064089997
03/10/2017,3067638930,3064089997
04/10/2017,3068795918,3064089997
05/10/2017,3070883860,3064089997
06/10/2017,3072719989,3064089997
09/10/2017,3074009942,3064089997
10/10/2017,3076115643,3064089997
11/10/2017,3078702073,3064089997
12/10/2017,3079837058,3064089997
13/10/2017,3081673006,3064089997
16/10/2017,3083928665,3064089997
17/10/2017,3086265825,3064089997
18/10/2017,3088205145,3064089997
19/10/2017,3088672119,3064089997
20/10/2017,3089736568,3064089997
23/10/2017,3090520397,3064089997
24/10/2017,3090807586,3064089997
25/10/2017,3090776715,3064089997
26/10/2017,3091845551,3064089997
27/10/2017,3093426531,3064089997
30/10/2017,3097051049,3064089997
31/10/2017,3102026791,3064089997
01/11/2017,3108602787,3102026791
02/11/2017,3113881568,3102026791
03/11/2017,3120083707,3102026791
06/11/2017,3125328849,3102026791
07/11/2017,3130989088,3102026791
08/11/2017,3135330232,3102026791
