FACT_DATE,PRODUCT_GROUP,IM_EUR,MEMBER_TYPE
20/08/2019,GC POOLING,2449925698,HOUSE
20/08/2019,OTC IRS,5682086052,CLIENT
20/08/2019,OTC IRS,4137571522,HOUSE
20/08/2019,PRECIOUS METALS DERIVATIVES,8878424,CLIENT
20/08/2019,PRECIOUS METALS DERIVATIVES,22697458,HOUSE
20/08/2019,SUPPLEMENTARY MARGINS,1793195254,CLIENT
20/08/2019,SUPPLEMENTARY MARGINS,962814443,HOUSE
21/08/2019,ASIA COOPERATION PRODUCTS,2514901,CLIENT
21/08/2019,"CASH, REPO, SECLEND BOND",24403493,CLIENT
21/08/2019,"CASH, REPO, SECLEND BOND",1243279982,HOUSE
21/08/2019,"CASH, REPO, SECLEND EQUITY",512600971,CLIENT
21/08/2019,"CASH, REPO, SECLEND EQUITY",432653693,HOUSE
21/08/2019,COMMODITY DERIVATIVES,2126106,CLIENT
21/08/2019,COMMODITY DERIVATIVES,1726089,HOUSE
21/08/2019,CORPORATE BOND LIQUIDATION GROUP,36980,CLIENT
21/08/2019,EQUITY DERIVATIVES,12029033942,CLIENT
21/08/2019,EQUITY DERIVATIVES,6344225861,HOUSE
21/08/2019,FIXED INCOME DERIVATIVES,8014880140,CLIENT
21/08/2019,FIXED INCOME DERIVATIVES,629776196,HOUSE
21/08/2019,FIXED INCOME DERIVATIVES ETF,12488923,CLIENT
21/08/2019,FIXED INCOME DERIVATIVES ETF,520095,HOUSE
21/08/2019,FX DERIVATIVES,1258176,CLIENT
21/08/2019,GC POOLING,380792380,CLIENT
21/08/2019,GC POOLING,2598435169,HOUSE
21/08/2019,OTC IRS,5678271218,CLIENT
21/08/2019,OTC IRS,4135958869,HOUSE
21/08/2019,PRECIOUS METALS DERIVATIVES,7197539,CLIENT
21/08/2019,PRECIOUS METALS DERIVATIVES,20450265,HOUSE
21/08/2019,SUPPLEMENTARY MARGINS,1793195254,CLIENT
21/08/2019,SUPPLEMENTARY MARGINS,962814443,HOUSE
22/08/2019,ASIA COOPERATION PRODUCTS,4121334,CLIENT
22/08/2019,"CASH, REPO, SECLEND BOND",24337362,CLIENT
22/08/2019,"CASH, REPO, SECLEND BOND",1226984307,HOUSE
22/08/2019,"CASH, REPO, SECLEND EQUITY",552562566,CLIENT
22/08/2019,"CASH, REPO, SECLEND EQUITY",405033033,HOUSE
22/08/2019,COMMODITY DERIVATIVES,2104000,CLIENT
22/08/2019,COMMODITY DERIVATIVES,1708010,HOUSE
22/08/2019,CORPORATE BOND LIQUIDATION GROUP,36944,CLIENT
22/08/2019,EQUITY DERIVATIVES,11783794884,CLIENT
22/08/2019,EQUITY DERIVATIVES,6337166335,HOUSE
22/08/2019,FIXED INCOME DERIVATIVES,7949709039,CLIENT
22/08/2019,FIXED INCOME DERIVATIVES,631497790,HOUSE
22/08/2019,FIXED INCOME DERIVATIVES ETF,12656066,CLIENT
22/08/2019,FIXED INCOME DERIVATIVES ETF,636247,HOUSE
22/08/2019,FX DERIVATIVES,1454274,CLIENT
22/08/2019,GC POOLING,394120254,CLIENT
22/08/2019,GC POOLING,2495850704,HOUSE
22/08/2019,OTC IRS,5539928722,CLIENT
22/08/2019,OTC IRS,4054790224,HOUSE
22/08/2019,PRECIOUS METALS DERIVATIVES,7384016,CLIENT
22/08/2019,PRECIOUS METALS DERIVATIVES,21544077,HOUSE
22/08/2019,SUPPLEMENTARY MARGINS,1793195254,CLIENT
22/08/2019,SUPPLEMENTARY MARGINS,964814443,HOUSE
23/08/2019,ASIA COOPERATION PRODUCTS,11028176,CLIENT
23/08/2019,"CASH, REPO, SECLEND BOND",32786834,CLIENT
23/08/2019,"CASH, REPO, SECLEND BOND",1264532668,HOUSE
23/08/2019,"CASH, REPO, SECLEND EQUITY",600345610,CLIENT
23/08/2019,"CASH, REPO, SECLEND EQUITY",403077262,HOUSE
23/08/2019,COMMODITY DERIVATIVES,2049033,CLIENT
23/08/2019,COMMODITY DERIVATIVES,1646846,HOUSE
23/08/2019,CORPORATE BOND LIQUIDATION GROUP,36981,CLIENT
23/08/2019,EQUITY DERIVATIVES,11647463490,CLIENT
23/08/2019,EQUITY DERIVATIVES,6339554690,HOUSE
23/08/2019,FIXED INCOME DERIVATIVES,7902794355,CLIENT
23/08/2019,FIXED INCOME DERIVATIVES,669404192,HOUSE
23/08/2019,FIXED INCOME DERIVATIVES ETF,12701738,CLIENT
23/08/2019,FIXED INCOME DERIVATIVES ETF,584402,HOUSE
23/08/2019,FX DERIVATIVES,1647418,CLIENT
23/08/2019,GC POOLING,375218526,CLIENT
23/08/2019,GC POOLING,2539100975,HOUSE
