FACT_DATE,VOLUME,N_CALLS,TYPE
09/09/2020,451112305,13,Market Movement
10/09/2020,150500000,5,Change of Positions
10/09/2020,183613674.5,4,Market Movement
11/09/2020,679683735.4,6,Change of Positions
11/09/2020,236134891.2,8,Market Movement
14/09/2020,233837319,8,Change of Positions
15/09/2020,452521190.7,12,Change of Positions
15/09/2020,108055835.9,1,Market Movement
16/09/2020,273907953.5,4,Change of Positions
16/09/2020,284354200,1,Market Movement
17/09/2020,131000000,8,Change of Positions
17/09/2020,221767313.7,3,Market Movement
18/09/2020,958318135.7,10,Change of Positions
21/09/2020,350271867.3,8,Change of Positions
21/09/2020,781976766.3,18,Market Movement
22/09/2020,125521580.8,3,Change of Positions
22/09/2020,91864532.94,4,Market Movement
23/09/2020,114500000,5,Change of Positions
23/09/2020,162273368.6,7,Market Movement
24/09/2020,176100472.3,7,Change of Positions
24/09/2020,90000000,3,Market Movement
25/09/2020,163000000,4,Change of Positions
25/09/2020,10500000,1,Market Movement
28/09/2020,70494001.71,3,Change of Positions
28/09/2020,876099104.8,16,Market Movement
29/09/2020,122327636.3,6,Change of Positions
30/09/2020,151965835.3,6,Change of Positions
30/09/2020,14500000,1,Market Movement
01/10/2020,89500000,5,Change of Positions
01/10/2020,12763784.89,1,Market Movement
02/10/2020,263311672.6,5,Change of Positions
02/10/2020,54000000,2,Market Movement
05/10/2020,120471787.9,6,Change of Positions
05/10/2020,323915363.7,2,Market Movement
06/10/2020,101097287,4,Change of Positions
06/10/2020,71000000,2,Market Movement
07/10/2020,22500000,1,Change of Positions
07/10/2020,65000000,2,Market Movement
08/10/2020,454122609.4,7,Change of Positions
08/10/2020,112798980,5,Market Movement
09/10/2020,26173802.46,2,Change of Positions
09/10/2020,10500000,1,Market Movement
12/10/2020,87500000,4,Change of Positions
12/10/2020,23500000,2,Market Movement
13/10/2020,222500000,5,Change of Positions
14/10/2020,94000000,6,Change of Positions
14/10/2020,16000000,1,Market Movement
15/10/2020,150000000,7,Change of Positions
15/10/2020,718424885.5,16,Market Movement
16/10/2020,92500000,5,Change of Positions
16/10/2020,631415552.3,12,Market Movement
19/10/2020,24824878.78,2,Change of Positions
19/10/2020,54060144.99,2,Market Movement
20/10/2020,178917442.8,6,Change of Positions
21/10/2020,396265440.4,11,Change of Positions
21/10/2020,118424932,5,Market Movement
22/10/2020,63651425.43,3,Change of Positions
22/10/2020,73809189.76,5,Market Movement
23/10/2020,44500000,3,Change of Positions
23/10/2020,396431404.6,7,Market Movement
26/10/2020,113766858.4,6,Change of Positions
26/10/2020,269916575,8,Market Movement
27/10/2020,184983109.4,11,Change of Positions
27/10/2020,131929344.2,6,Market Movement
28/10/2020,323173616.4,11,Change of Positions
28/10/2020,1102692917,24,Market Movement
29/10/2020,276356459.3,11,Change of Positions
29/10/2020,456251196.2,8,Market Movement
30/10/2020,213064797.4,5,Change of Positions
30/10/2020,28451786.63,2,Market Movement
02/11/2020,108000000,5,Change of Positions
