Description,Volume,N.Calls,Typpe
2020-03-10T00:00:00Z,2649225229,48,Market Movement
2020-03-11T00:00:00Z,1477435780,20,Change of Positions
2020-03-11T00:00:00Z,1151887933,23,Market Movement
2020-03-12T00:00:00Z,1360686833,11,Change of Positions
2020-03-12T00:00:00Z,10667015314,83,Market Movement
2020-03-13T00:00:00Z,2243076369,22,Change of Positions
2020-03-13T00:00:00Z,5427711470,61,Market Movement
2020-03-16T00:00:00Z,977771354.3,11,Change of Positions
2020-03-16T00:00:00Z,8711008488,57,Market Movement
2020-03-17T00:00:00Z,1175271899,16,Change of Positions
2020-03-17T00:00:00Z,2650147150,27,Market Movement
2020-03-18T00:00:00Z,324292665.1,5,Change of Positions
2020-03-18T00:00:00Z,7080024282,68,Market Movement
2020-03-19T00:00:00Z,192574761.6,5,Change of Positions
2020-03-19T00:00:00Z,2644475395,44,Market Movement
2020-03-20T00:00:00Z,804944148.7,13,Change of Positions
2020-03-20T00:00:00Z,2857198563,44,Market Movement
2020-03-23T00:00:00Z,607689234.2,13,Change of Positions
2020-03-23T00:00:00Z,1200640035,14,Market Movement
2020-03-24T00:00:00Z,275891589,9,Change of Positions
2020-03-24T00:00:00Z,2902663314,41,Market Movement
2020-03-25T00:00:00Z,1002910409,10,Change of Positions
2020-03-25T00:00:00Z,2502605363,22,Market Movement
2020-03-26T00:00:00Z,1157499499,14,Change of Positions
2020-03-26T00:00:00Z,1131581231,20,Market Movement
2020-03-27T00:00:00Z,683479138.2,11,Change of Positions
2020-03-27T00:00:00Z,2639084913,30,Market Movement
2020-03-30T00:00:00Z,902070328.1,9,Change of Positions
2020-03-30T00:00:00Z,835936287.8,15,Market Movement
2020-03-31T00:00:00Z,423889010.6,6,Change of Positions
2020-03-31T00:00:00Z,1226469790,20,Market Movement
2020-04-01T00:00:00Z,458555596.2,7,Change of Positions
2020-04-01T00:00:00Z,2230112407,16,Market Movement
2020-04-02T00:00:00Z,359758573.3,7,Change of Positions
2020-04-02T00:00:00Z,57853831.19,5,Market Movement
2020-04-03T00:00:00Z,69052155.77,2,Change of Positions
2020-04-06T00:00:00Z,46000000,2,Change of Positions
2020-04-06T00:00:00Z,2707217635,25,Market Movement
2020-04-07T00:00:00Z,437104731.3,6,Change of Positions
2020-04-07T00:00:00Z,2405318735,30,Market Movement
2020-04-08T00:00:00Z,941010895.3,17,Change of Positions
2020-04-08T00:00:00Z,111000000,2,Market Movement
2020-04-09T00:00:00Z,1061768979,12,Change of Positions
2020-04-09T00:00:00Z,533615487.3,11,Market Movement
2020-04-14T00:00:00Z,531377041,12,Change of Positions
2020-04-14T00:00:00Z,660138009.7,12,Market Movement
2020-04-15T00:00:00Z,617139869.8,11,Change of Positions
2020-04-15T00:00:00Z,955871778.4,14,Market Movement
2020-04-16T00:00:00Z,262402041.2,9,Change of Positions
2020-04-16T00:00:00Z,258500000,6,Market Movement
2020-04-17T00:00:00Z,759442296.3,16,Change of Positions
2020-04-17T00:00:00Z,1705056329,19,Market Movement
2020-04-20T00:00:00Z,455390716.2,9,Change of Positions
2020-04-20T00:00:00Z,160520271,3,Market Movement
2020-04-21T00:00:00Z,227519332.3,6,Change of Positions
2020-04-21T00:00:00Z,497727738.3,8,Market Movement
2020-04-22T00:00:00Z,199323102.9,11,Change of Positions
2020-04-22T00:00:00Z,472596484.8,10,Market Movement
2020-04-23T00:00:00Z,522235990.9,11,Change of Positions
2020-04-23T00:00:00Z,42000000,2,Market Movement
2020-04-24T00:00:00Z,425407407.4,7,Change of Positions
2020-04-24T00:00:00Z,202796296.3,5,Market Movement
2020-04-27T00:00:00Z,584665868,10,Change of Positions
2020-04-27T00:00:00Z,758180970,11,Market Movement
2020-04-28T00:00:00Z,181330881.7,7,Change of Positions
2020-04-28T00:00:00Z,708500000,14,Market Movement
2020-04-29T00:00:00Z,281460804.8,9,Change of Positions
2020-04-29T00:00:00Z,1047377421,11,Market Movement
2020-04-30T00:00:00Z,548631114.4,15,Change of Positions
2020-04-30T00:00:00Z,762518573,12,Market Movement
2020-05-04T00:00:00Z,115197324.1,5,Change of Positions
2020-05-04T00:00:00Z,1173506996,10,Market Movement
2020-05-05T00:00:00Z,314062833.8,8,Change of Positions
2020-05-05T00:00:00Z,1571489181,17,Market Movement
2020-05-06T00:00:00Z,410724461.3,7,Change of Positions
2020-05-06T00:00:00Z,187937911,5,Market Movement
2020-05-07T00:00:00Z,176656635.4,7,Change of Positions
2020-05-07T00:00:00Z,234189789.5,4,Market Movement
2020-05-08T00:00:00Z,62556349.72,4,Change of Positions
2020-05-08T00:00:00Z,19828460.76,1,Market Movement
2020-05-11T00:00:00Z,326755358.5,5,Change of Positions
2020-05-11T00:00:00Z,116383961.6,4,Market Movement
2020-05-12T00:00:00Z,290994474.1,9,Change of Positions
2020-05-13T00:00:00Z,79948275.86,5,Change of Positions
2020-05-13T00:00:00Z,420132183.9,5,Market Movement
2020-05-14T00:00:00Z,485346553,8,Change of Positions
2020-05-14T00:00:00Z,443973313.6,4,Market Movement
2020-05-15T00:00:00Z,251270235.2,9,Change of Positions
2020-05-15T00:00:00Z,67731006.43,3,Market Movement
2020-05-18T00:00:00Z,303158788.8,9,Change of Positions
2020-05-18T00:00:00Z,3300534315,35,Market Movement
2020-05-19T00:00:00Z,260070776.3,7,Change of Positions
2020-05-19T00:00:00Z,168500000,5,Market Movement
2020-05-20T00:00:00Z,178287461.2,6,Change of Positions
2020-05-20T00:00:00Z,10647350.33,1,Market Movement
2020-05-21T00:00:00Z,60181818.18,4,Change of Positions
2020-05-22T00:00:00Z,173940205.4,4,Change of Positions
2020-05-22T00:00:00Z,17500000,1,Market Movement
2020-05-25T00:00:00Z,96626781.16,3,Change of Positions
2020-05-25T00:00:00Z,171500000,4,Market Movement
2020-05-26T00:00:00Z,106500000,5,Change of Positions
2020-05-26T00:00:00Z,449629090.9,11,Market Movement
2020-05-27T00:00:00Z,637786780.1,16,Change of Positions
2020-05-27T00:00:00Z,369557365.1,9,Market Movement
2020-05-28T00:00:00Z,348446986.2,9,Change of Positions
2020-05-28T00:00:00Z,314168482.2,6,Market Movement
2020-05-29T00:00:00Z,199471264.4,7,Change of Positions
2020-05-29T00:00:00Z,84908764.37,3,Market Movement
2020-06-01T00:00:00Z,88000000,3,Change of Positions
2020-06-01T00:00:00Z,463858762.1,11,Market Movement
2020-06-02T00:00:00Z,385074190.1,12,Change of Positions
2020-06-02T00:00:00Z,246239216,11,Market Movement
2020-06-03T00:00:00Z,1325234769,23,Change of Positions
2020-06-03T00:00:00Z,1477695669,28,Market Movement
2020-06-04T00:00:00Z,522055555.6,10,Change of Positions
2020-06-04T00:00:00Z,143833333.3,4,Market Movement
2020-06-05T00:00:00Z,449172109.4,12,Change of Positions
2020-06-05T00:00:00Z,1155682497,20,Market Movement
2020-06-08T00:00:00Z,388738812.6,11,Change of Positions
2020-06-08T00:00:00Z,109801506.4,5,Market Movement
2020-06-09T00:00:00Z,178683401.9,6,Change of Positions
2020-06-09T00:00:00Z,29713556.17,2,Market Movement
2020-06-10T00:00:00Z,531923076.9,8,Change of Positions
2020-06-10T00:00:00Z,95879120.88,2,Market Movement
2020-06-11T00:00:00Z,334018857.9,14,Change of Positions
2020-06-11T00:00:00Z,1576312997,26,Market Movement
2020-06-12T00:00:00Z,437002477,12,Change of Positions
2020-06-12T00:00:00Z,103000000,2,Market Movement
2020-06-15T00:00:00Z,1279491514,15,Change of Positions
2020-06-15T00:00:00Z,380410431.7,4,Market Movement
2020-06-16T00:00:00Z,904850356.5,18,Change of Positions
2020-06-16T00:00:00Z,1971315116,20,Market Movement
2020-06-17T00:00:00Z,417374643.9,12,Change of Positions
2020-06-17T00:00:00Z,96500000,2,Market Movement
2020-06-18T00:00:00Z,651648814.8,13,Change of Positions
2020-06-18T00:00:00Z,26485474.96,2,Market Movement
2020-06-19T00:00:00Z,418375375.4,8,Change of Positions
2020-06-19T00:00:00Z,546000000,3,Market Movement
2020-06-22T00:00:00Z,309355078.9,9,Change of Positions
2020-06-22T00:00:00Z,30000000,2,Market Movement
2020-06-23T00:00:00Z,440545149.3,10,Change of Positions
2020-06-23T00:00:00Z,784569087.6,9,Market Movement
2020-06-24T00:00:00Z,298347408.3,9,Change of Positions
2020-06-24T00:00:00Z,379502752.8,7,Market Movement
2020-06-25T00:00:00Z,655821428.6,19,Change of Positions
2020-06-25T00:00:00Z,67000000,3,Market Movement
2020-06-26T00:00:00Z,228220503,8,Change of Positions
2020-06-26T00:00:00Z,109926246.3,5,Market Movement
2020-06-29T00:00:00Z,230481744.1,8,Change of Positions
2020-06-29T00:00:00Z,543429634.9,4,Market Movement
2020-06-30T00:00:00Z,308984461.5,7,Change of Positions
2020-06-30T00:00:00Z,30520807.29,2,Market Movement
2020-07-01T00:00:00Z,434089285.7,4,Change of Positions
2020-07-01T00:00:00Z,410392556.9,13,Market Movement
2020-07-02T00:00:00Z,297431773.9,10,Change of Positions
2020-07-02T00:00:00Z,1260026220,19,Market Movement
2020-07-03T00:00:00Z,85027797.58,3,Change of Positions
2020-07-06T00:00:00Z,90013813.19,3,Change of Positions
2020-07-06T00:00:00Z,1455604304,12,Market Movement
2020-07-07T00:00:00Z,34000000,2,Change of Positions
2020-07-08T00:00:00Z,74675613,4,Change of Positions
2020-07-08T00:00:00Z,57500000,3,Market Movement
2020-07-09T00:00:00Z,123450361.5,2,Change of Positions
2020-07-10T00:00:00Z,183514189.4,9,Change of Positions
2020-07-10T00:00:00Z,66794117.65,3,Market Movement
2020-07-13T00:00:00Z,130455688.9,7,Change of Positions
2020-07-13T00:00:00Z,874199696.3,15,Market Movement
2020-07-14T00:00:00Z,45527472.53,3,Change of Positions
2020-07-14T00:00:00Z,323120879.1,7,Market Movement
2020-07-15T00:00:00Z,218943900.7,5,Change of Positions
2020-07-15T00:00:00Z,1278976407,17,Market Movement
2020-07-16T00:00:00Z,140625109.5,6,Change of Positions
2020-07-16T00:00:00Z,12000000,1,Market Movement
2020-07-17T00:00:00Z,438948547.4,6,Change of Positions
2020-07-17T00:00:00Z,16500000,1,Market Movement
2020-07-20T00:00:00Z,159211390.6,6,Change of Positions
2020-07-20T00:00:00Z,11000000,1,Market Movement
2020-07-21T00:00:00Z,147000000,5,Change of Positions
2020-07-21T00:00:00Z,682500000,7,Market Movement
2020-07-22T00:00:00Z,72934185.52,5,Change of Positions
2020-07-22T00:00:00Z,22126564.67,2,Market Movement
2020-07-23T00:00:00Z,130439536.7,5,Change of Positions
2020-07-23T00:00:00Z,38500000,2,Market Movement
2020-07-24T00:00:00Z,37000000,2,Change of Positions
2020-07-24T00:00:00Z,132991313.1,7,Market Movement
2020-07-27T00:00:00Z,348482993.2,8,Change of Positions
2020-07-27T00:00:00Z,42129251.7,3,Market Movement
2020-07-28T00:00:00Z,46896901.94,4,Change of Positions
2020-07-28T00:00:00Z,18000000,1,Market Movement
2020-07-29T00:00:00Z,150551537.1,5,Change of Positions
