FACT_DATE,TYPE,DEBIT_EUR,TYP
14/06/2021,MARGIN CALL,366073870,EOD
14/06/2021,VAR MARGIN PAID,1066557615,EOD
14/06/2021,MARGIN CALL,135135403,ID
11/06/2021,MARGIN CALL,575090634,ID
11/06/2021,MARGIN CALL,735281328,EOD
11/06/2021,VAR MARGIN PAID,1735196482,EOD
10/06/2021,VAR MARGIN PAID,1012382291,EOD
10/06/2021,MARGIN CALL,218569397,EOD
10/06/2021,MARGIN CALL,168500000,ID
09/06/2021,MARGIN CALL,483320828,ID
09/06/2021,VAR MARGIN PAID,1767015486,EOD
09/06/2021,MARGIN CALL,490105776,EOD
08/06/2021,MARGIN CALL,296813205,EOD
08/06/2021,MARGIN CALL,320857823,ID
08/06/2021,VAR MARGIN PAID,1247513456,EOD
07/06/2021,MARGIN CALL,1300686732,EOD
07/06/2021,VAR MARGIN PAID,820718943,EOD
07/06/2021,MARGIN CALL,139023994,ID
04/06/2021,MARGIN CALL,492380874,EOD
04/06/2021,MARGIN CALL,401586036,ID
04/06/2021,VAR MARGIN PAID,1459901029,EOD
03/06/2021,MARGIN CALL,296456523,EOD
03/06/2021,VAR MARGIN PAID,1515447917,EOD
03/06/2021,MARGIN CALL,562401206,ID
02/06/2021,MARGIN CALL,263771459,ID
02/06/2021,MARGIN CALL,598208845,EOD
02/06/2021,VAR MARGIN PAID,1173307293,EOD
01/06/2021,MARGIN CALL,666266273,EOD
01/06/2021,MARGIN CALL,504904908,ID
01/06/2021,VAR MARGIN PAID,1377202307,EOD
31/05/2021,MARGIN CALL,270842464,EOD
31/05/2021,VAR MARGIN PAID,1113562351,EOD
31/05/2021,MARGIN CALL,130000000,ID
28/05/2021,MARGIN CALL,582460126,EOD
28/05/2021,VAR MARGIN PAID,1408602426,EOD
28/05/2021,MARGIN CALL,352001482,ID
27/05/2021,MARGIN CALL,102740859,ID
27/05/2021,MARGIN CALL,542992935,EOD
27/05/2021,VAR MARGIN PAID,1983181678,EOD
26/05/2021,MARGIN CALL,348161901,EOD
26/05/2021,MARGIN CALL,549443157,ID
26/05/2021,VAR MARGIN PAID,2174220136,EOD
25/05/2021,MARGIN CALL,579395641,EOD
25/05/2021,VAR MARGIN PAID,1375231393,EOD
25/05/2021,MARGIN CALL,139115786,ID
24/05/2021,MARGIN CALL,414747460,EOD
24/05/2021,MARGIN CALL,114781035,ID
24/05/2021,VAR MARGIN PAID,1098422708,EOD
21/05/2021,MARGIN CALL,594049827,EOD
21/05/2021,VAR MARGIN PAID,1807256026,EOD
21/05/2021,MARGIN CALL,415699541,ID
20/05/2021,VAR MARGIN PAID,2044533356,EOD
20/05/2021,MARGIN CALL,758754990,EOD
20/05/2021,MARGIN CALL,471912071,ID
19/05/2021,MARGIN CALL,1136865098,ID
19/05/2021,VAR MARGIN PAID,2453901108,EOD
19/05/2021,MARGIN CALL,469013917,EOD
18/05/2021,MARGIN CALL,221203539,EOD
18/05/2021,MARGIN CALL,100500000,ID
18/05/2021,VAR MARGIN PAID,1143478204,EOD
17/05/2021,MARGIN CALL,86057811,ID
17/05/2021,MARGIN CALL,385836938,EOD
17/05/2021,VAR MARGIN PAID,885047623,EOD
14/05/2021,VAR MARGIN PAID,2183218017,EOD
14/05/2021,MARGIN CALL,779443909,EOD
